Model,MSE,RMSE,MAE,MAX,Range_out_min,Range_out_max,Notes
Keras,0.0,0.0,0.0,0.0,-0.4363110065460205,1.135783314704895,Baseline float32; LSB=0.0520558
TFLite-PC,0.13991419970989227,0.37405106564464197,0.28332847356796265,1.1708941459655762,-0.6767255663871765,2.2904558181762695,Quantized on PC; LSB=0.0520558
STM32,0.13407444953918457,0.36616178055496806,0.27463069558143616,1.170438289642334,-0.6769999861717224,2.2899999618530273,Dequantized output from MCU; LSB=0.0520558; Δmax_vs_TFLite=0.0525535; entro_LSB=NO
