exp_name,max_total,balance,rep_count,tflite_kb,ms_keras,ms_tflite,delta_mse,delta_mae,delta_max,in_scale,in_zp,out_scale,out_zp,rep_path,tflite_path,status,note,yk_min,yk_max,yt_min,yt_max,delta_range_obs,delta_mse_obs,delta_mae_obs,delta_rmse_obs,delta_max_obs,keras_ms_observed,tflite_ms_observed,n_windows_eval,repr_out_min,repr_out_max,repr_out_width,lsb_out,sat_lo_cnt,sat_hi_cnt,delta_rmse
mt500_b0p25,500,0.25,500,141.99,0.546,0.019,0.1542585,0.2245947,2.535102,0.11226172000169754,36,0.05055522546172142,67,qbench_sweep_20251027_165731/experiments/mt500_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p25/tflite/model_int8_full.tflite,OK,,-1.3521435260772705,1.6232476234436035,-2.7299821376800537,2.4266507625579834,2.181241750717163,0.37902894616127014,0.4740351140499115,0.6156532678068639,1.939568281173706,6.6253431141376495,0.030972063541412354,64.0,-9.858268965035677,3.033313527703285,12.891582492738962,0.05055522546172142,0.0,0.0,0.3927575588069566
mt500_b0p3,500,0.3,500,141.99,0.554,0.019,0.1491456,0.2153657,2.39022,0.17049096524715424,-20,0.05055522546172142,67,qbench_sweep_20251027_165731/experiments/mt500_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p3/tflite/model_int8_full.tflite,OK,,-9.881526947021484,3.009805917739868,-9.807713508605957,3.033313512802124,-0.050305843353271484,0.38307052850723267,0.46311306953430176,0.6189269169354591,2.3899617195129395,0.7776282727718353,0.030267983675003052,64.0,-9.858268965035677,3.033313527703285,12.891582492738962,0.05055522546172142,0.0,3.0,0.3861937337658393
mt500_b0p35,500,0.35,500,141.99,0.554,0.02,0.1359469,0.1958086,2.756309,0.17049096524715424,-20,0.05057685077190399,67,qbench_sweep_20251027_165731/experiments/mt500_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p35/tflite/model_int8_full.tflite,OK,,-9.881526947021484,3.015118360519409,-9.811908721923828,3.0346109867095947,-0.0501255989074707,0.35025590658187866,0.4357070326805115,0.5918242193268866,2.148233413696289,0.7749311625957489,0.030659139156341553,64.0,-9.862485900521278,3.0346110463142395,12.897096946835518,0.05057685077190399,0.0,14.0,0.36870977746731914
mt500_b0p4,500,0.4,500,141.99,0.547,0.019,0.1168785,0.1731804,2.535007,0.17049096524715424,-20,0.05057685077190399,67,qbench_sweep_20251027_165731/experiments/mt500_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p4/tflite/model_int8_full.tflite,OK,,-9.881526947021484,3.015118360519409,-9.811908721923828,3.0346109867095947,-0.0501255989074707,0.32503893971443176,0.40138310194015503,0.5701218639154543,2.5351388454437256,0.7654093205928802,0.03032013773918152,64.0,-9.862485900521278,3.0346110463142395,12.897096946835518,0.05057685077190399,0.0,19.0,0.3418749771480797
mt500_b0p45,500,0.45,500,141.99,0.55,0.019,0.1094707,0.1595272,2.588667,0.17049096524715424,-20,0.05057685077190399,67,qbench_sweep_20251027_165731/experiments/mt500_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p45/tflite/model_int8_full.tflite,OK,,-9.881526947021484,3.015118360519409,-9.811908721923828,3.0346109867095947,-0.0501255989074707,0.3005538582801819,0.3743690252304077,0.5482279254837188,2.5889225006103516,0.7596500217914581,0.030059367418289185,64.0,-9.862485900521278,3.0346110463142395,12.897096946835518,0.05057685077190399,0.0,23.0,0.33086356704841346
mt500_b0p5,500,0.5,500,141.99,0.397,0.019,0.08935092,0.1340142,2.7942,0.17049096524715424,-20,0.051691558212041855,63,qbench_sweep_20251027_165731/experiments/mt500_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p5/tflite/model_int8_full.tflite,OK,,-9.881526947021484,3.015118360519409,-9.821395874023438,3.049801826477051,-0.025447607040405273,0.2612283229827881,0.3200870454311371,0.5111050019152503,2.7942755222320557,0.7711984217166901,0.03074854612350464,64.0,-9.873087618499994,3.3082597255706787,13.181347344070673,0.051691558212041855,0.0,0.0,0.29891624244928544
mt500_b0p55,500,0.55,500,141.99,0.554,0.019,0.08310954,0.1248009,2.413585,0.17049096524715424,-20,0.05172700434923172,63,qbench_sweep_20251027_165731/experiments/mt500_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p55/tflite/model_int8_full.tflite,OK,,-9.881526947021484,3.015118360519409,-9.776403427124023,3.0518932342529297,-0.06834864616394043,0.2651863694190979,0.31601959466934204,0.5149624932158632,2.413640022277832,0.7741972804069519,0.030662864446640015,64.0,-9.879857830703259,3.31052827835083,13.190386109054089,0.05172700434923172,0.0,0.0,0.28828725257978366
mt500_b0p6,500,0.6,500,141.99,0.483,0.02,0.0567444,0.09173809,2.645663,0.17049096524715424,-20,0.05172700434923172,63,qbench_sweep_20251027_165731/experiments/mt500_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p6/tflite/model_int8_full.tflite,OK,,-9.881526947021484,3.015118360519409,-9.776403427124023,3.0518932342529297,-0.06834864616394043,0.22118942439556122,0.27244335412979126,0.47030779750665547,2.645866870880127,0.7594414055347443,0.03002956509590149,64.0,-9.879857830703259,3.31052827835083,13.190386109054089,0.05172700434923172,0.0,0.0,0.23821083098801366
mt1000_b0p25,1000,0.25,1000,141.99,0.545,0.019,0.1943257,0.2843284,3.006288,0.17049096524715424,-20,0.051691558212041855,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p25/tflite/model_int8_full.tflite,OK,,-1.569798231124878,1.4700287580490112,-2.3778116703033447,2.1710455417633057,1.5090302228927612,0.4333735406398773,0.4945426881313324,0.6583111275376388,2.42956280708313,0.7758773863315582,0.0303611159324646,64.0,-9.873087618499994,3.3082597255706787,13.181347344070673,0.051691558212041855,0.0,0.0,0.4408238877374954
mt1000_b0p3,1000,0.3,1000,141.99,0.488,0.019,0.1930433,0.2736233,2.20827,0.17049096524715424,-20,0.05172700434923172,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p3/tflite/model_int8_full.tflite,OK,,-1.5040355920791626,1.4748064279556274,-2.3277151584625244,2.12080717086792,1.4696803092956543,0.41393083333969116,0.48234978318214417,0.6433745669046074,2.2083165645599365,0.7750615477561951,0.029981136322021484,64.0,-9.879857830703259,3.31052827835083,13.190386109054089,0.05172700434923172,0.0,0.0,0.43936693093586365
