Model,MSE,RMSE,MAE,MAX,Range_out_min,Range_out_max,Notes
Keras,0.0,0.0,0.0,0.0,-0.4363110065460205,1.135783314704895,Baseline float32; LSB=0.051727
TFLite-PC,0.1254378855228424,0.35417211285311895,0.2649148106575012,1.1046996116638184,-0.6724510788917542,2.2242612838745117,Quantized on PC; LSB=0.051727
STM32,0.1333436220884323,0.36516245985647583,0.2671244740486145,1.1564383506774902,-0.671999990940094,2.2760000228881836,Dequantized output from MCU; LSB=0.051727; Δmax_vs_TFLite=0.0521929; entro_LSB=NO
